exam,question_no,section,rights_status,asset_status,correction_status,scoring_status
111,40,mandatory,pending,unreviewed,none,scored
111,41,mandatory,pending,unreviewed,none,scored
111,42,mandatory,pending,unreviewed,none,scored
111,43,mandatory,pending,unreviewed,none,scored
111,44,mandatory,pending,unreviewed,none,scored
111,45,mandatory,pending,unreviewed,none,scored
111,46,mandatory,pending,unreviewed,none,scored
111,47,mandatory,pending,unreviewed,none,scored
111,48,mandatory,pending,unreviewed,none,scored
111,49,mandatory,pending,unreviewed,none,scored
111,50,mandatory,pending,unreviewed,none,scored
111,51,mandatory,pending,unreviewed,none,scored
111,52,mandatory,pending,unreviewed,none,scored
111,53,mandatory,pending,unreviewed,none,scored
111,54,mandatory,pending,unreviewed,none,scored
111,55,mandatory,pending,unreviewed,none,scored
111,56,mandatory,pending,unreviewed,none,scored
111,57,mandatory,pending,unreviewed,none,scored
111,58,mandatory,pending,unreviewed,none,scored
111,59,mandatory,pending,unreviewed,none,scored
111,60,mandatory,pending,unreviewed,none,scored
111,61,mandatory,pending,unreviewed,none,scored
111,62,mandatory,pending,unreviewed,none,scored
111,63,mandatory,pending,unreviewed,none,scored
111,64,mandatory,pending,unreviewed,none,scored
111,65,mandatory,pending,unreviewed,none,scored
111,66,mandatory,pending,unreviewed,none,scored
111,67,mandatory,pending,unreviewed,none,scored
111,68,mandatory,pending,unreviewed,none,scored
111,69,mandatory,pending,unreviewed,none,scored
111,70,mandatory,pending,unreviewed,none,scored
111,71,mandatory,pending,unreviewed,none,scored
111,72,mandatory,pending,unreviewed,none,scored
111,73,mandatory,pending,unreviewed,none,scored
111,74,mandatory,pending,unreviewed,none,scored
111,75,mandatory,pending,unreviewed,none,scored
111,76,mandatory,pending,unreviewed,none,scored
111,77,mandatory,pending,unreviewed,none,scored
111,78,mandatory,pending,unreviewed,none,scored
111,79,mandatory,pending,unreviewed,none,scored
111,80,mandatory,pending,unreviewed,none,scored
111,81,mandatory,pending,unreviewed,none,scored
111,82,mandatory,pending,unreviewed,none,scored
111,83,mandatory,pending,unreviewed,none,scored
111,84,mandatory,pending,unreviewed,none,scored
111,85,mandatory,pending,unreviewed,none,scored
111,86,mandatory,pending,unreviewed,none,scored
111,87,mandatory,pending,unreviewed,none,scored
111,88,mandatory,pending,unreviewed,none,scored
111,89,mandatory,pending,unreviewed,none,scored
111,90,mandatory,pending,unreviewed,none,scored
111,91,theory,pending,unreviewed,none,scored
111,92,theory,pending,unreviewed,wording,scored
111,93,theory,pending,unreviewed,none,scored
111,94,theory,pending,unreviewed,none,scored
111,95,theory,pending,unreviewed,none,scored
111,96,theory,pending,unreviewed,none,scored
111,97,theory,pending,unreviewed,none,scored
111,98,theory,pending,unreviewed,none,scored
111,99,theory,pending,unreviewed,none,scored
111,100,theory,pending,unreviewed,none,scored
111,101,theory,pending,unreviewed,none,scored
111,102,theory,pending,unreviewed,none,scored
111,103,theory,pending,unreviewed,none,scored
111,104,theory,pending,unreviewed,none,scored
111,105,theory,pending,unreviewed,none,scored
111,106,theory,pending,unreviewed,none,scored
111,107,theory,pending,unreviewed,none,scored
111,108,theory,pending,unreviewed,none,scored
111,109,theory,pending,unreviewed,none,scored
111,110,theory,pending,unreviewed,none,scored
111,111,theory,pending,unreviewed,none,scored
111,112,theory,pending,unreviewed,none,scored
111,113,theory,pending,unreviewed,none,scored
111,114,theory,pending,unreviewed,none,scored
111,115,theory,pending,unreviewed,none,scored
111,116,theory,pending,unreviewed,none,scored
111,117,theory,pending,unreviewed,none,scored
111,118,theory,pending,unreviewed,none,scored
111,119,theory,pending,unreviewed,none,scored
111,120,theory,pending,unreviewed,none,scored
111,121,theory,pending,unreviewed,none,scored
111,122,theory,pending,unreviewed,none,scored
111,123,theory,pending,unreviewed,none,scored
111,124,theory,pending,unreviewed,none,scored
111,125,theory,pending,unreviewed,none,scored
111,126,theory,pending,unreviewed,none,scored
111,127,theory,pending,unreviewed,none,scored
111,128,theory,pending,unreviewed,none,scored
111,129,theory,pending,unreviewed,none,scored
111,130,theory,pending,unreviewed,none,scored
111,131,theory,pending,unreviewed,none,scored
111,132,theory,pending,unreviewed,none,scored
111,133,theory,pending,unreviewed,none,scored
111,134,theory,pending,unreviewed,none,scored
111,135,theory,pending,unreviewed,none,scored
111,136,theory,pending,unreviewed,none,scored
111,137,theory,pending,unreviewed,none,scored
111,138,theory,pending,unreviewed,none,scored
111,139,theory,pending,unreviewed,none,scored
111,140,theory,pending,unreviewed,none,scored
111,141,theory,pending,unreviewed,none,scored
111,142,theory,pending,unreviewed,none,scored
111,143,theory,pending,unreviewed,none,scored
111,144,theory,pending,unreviewed,none,scored
111,145,theory,pending,unreviewed,none,scored
111,146,theory,pending,unreviewed,none,scored
111,147,theory,pending,unreviewed,none,scored
111,148,theory,pending,unreviewed,none,scored
111,149,theory,pending,unreviewed,none,scored
111,150,theory,pending,unreviewed,none,scored
111,151,theory,pending,unreviewed,none,scored
111,152,theory,pending,unreviewed,none,scored
111,153,theory,pending,unreviewed,none,scored
111,154,theory,pending,unreviewed,none,scored
111,155,theory,pending,unreviewed,none,scored
111,156,theory,pending,unreviewed,none,scored
111,157,theory,pending,unreviewed,none,scored
111,158,theory,pending,unreviewed,none,scored
111,159,theory,pending,unreviewed,none,scored
111,160,theory,pending,unreviewed,none,scored
111,161,theory,pending,unreviewed,none,scored
111,162,theory,pending,unreviewed,none,scored
111,163,theory,pending,unreviewed,none,scored
111,164,theory,pending,unreviewed,none,scored
111,165,theory,pending,unreviewed,none,scored
111,166,theory,pending,unreviewed,none,scored
111,167,theory,pending,unreviewed,none,scored
111,168,theory,pending,unreviewed,none,scored
111,169,theory,pending,unreviewed,none,scored
111,170,theory,pending,unreviewed,none,scored
111,171,theory,pending,unreviewed,none,scored
111,172,theory,pending,unreviewed,none,scored
111,173,theory,pending,unreviewed,none,scored
111,174,theory,pending,unreviewed,none,scored
111,175,theory,pending,unreviewed,none,scored
111,176,theory,pending,unreviewed,none,scored
111,177,theory,pending,unreviewed,none,scored
111,178,theory,pending,unreviewed,none,scored
111,179,theory,pending,unreviewed,none,scored
111,180,theory,pending,unreviewed,none,scored
111,181,theory,pending,unreviewed,none,scored
111,182,theory,pending,unreviewed,none,scored
111,183,theory,pending,unreviewed,none,scored
111,184,theory,pending,unreviewed,none,scored
111,185,theory,pending,unreviewed,none,scored
111,186,theory,pending,unreviewed,none,scored
111,187,theory,pending,unreviewed,none,scored
111,188,theory,pending,unreviewed,none,scored
111,189,theory,pending,unreviewed,none,scored
111,190,theory,pending,unreviewed,none,scored
111,191,theory,pending,unreviewed,none,scored
111,192,theory,pending,unreviewed,none,scored
111,193,theory,pending,unreviewed,none,scored
111,194,theory,pending,unreviewed,none,scored
111,195,theory,pending,unreviewed,none,scored
111,196,practical,pending,unreviewed,none,scored
111,197,practical,pending,unreviewed,none,scored
111,198,practical,pending,unreviewed,none,scored
111,199,practical,pending,unreviewed,unit,excluded
111,200,practical,pending,unreviewed,none,scored
111,201,practical,pending,unreviewed,none,scored
111,202,practical,pending,unreviewed,none,scored
111,203,practical,pending,unreviewed,none,scored
111,204,practical,pending,unreviewed,none,scored
111,205,practical,pending,unreviewed,none,scored
111,206,practical,pending,unreviewed,none,scored
111,207,practical,pending,unreviewed,none,scored
111,208,practical,pending,unreviewed,none,scored
111,209,practical,pending,unreviewed,none,scored
111,210,practical,pending,unreviewed,none,scored
111,211,practical,pending,unreviewed,none,scored
111,212,practical,pending,unreviewed,none,scored
111,213,practical,pending,unreviewed,none,scored
111,214,practical,pending,unreviewed,none,scored
111,215,practical,pending,unreviewed,none,scored
111,216,practical,pending,unreviewed,none,scored
111,217,practical,pending,unreviewed,none,scored
111,218,practical,pending,unreviewed,none,scored
111,219,practical,pending,unreviewed,none,scored
111,220,practical,pending,unreviewed,prescription,scored
111,221,practical,pending,unreviewed,prescription,scored
111,222,practical,pending,unreviewed,none,scored
111,223,practical,pending,unreviewed,none,scored
111,224,practical,pending,unreviewed,none,scored
111,225,practical,pending,unreviewed,none,scored
111,226,practical,pending,unreviewed,none,scored
111,227,practical,pending,unreviewed,none,scored
111,228,practical,pending,unreviewed,none,scored
111,229,practical,pending,unreviewed,none,scored
111,230,practical,pending,unreviewed,none,scored
111,231,practical,pending,unreviewed,none,scored
111,232,practical,pending,unreviewed,none,scored
111,233,practical,pending,unreviewed,none,scored
111,234,practical,pending,unreviewed,none,scored
111,235,practical,pending,unreviewed,none,scored
111,236,practical,pending,unreviewed,none,scored
111,237,practical,pending,unreviewed,none,scored
111,238,practical,pending,unreviewed,none,scored
111,239,practical,pending,unreviewed,none,scored
111,240,practical,pending,unreviewed,none,scored
111,241,practical,pending,unreviewed,none,scored
111,242,practical,pending,unreviewed,none,scored
111,243,practical,pending,unreviewed,none,scored
111,244,practical,pending,unreviewed,none,scored
111,245,practical,pending,unreviewed,none,scored
111,246,practical,pending,unreviewed,none,scored
111,247,practical,pending,unreviewed,none,scored
111,248,practical,pending,unreviewed,none,scored
111,249,practical,pending,unreviewed,none,scored
111,250,practical,pending,unreviewed,none,scored
111,251,practical,pending,unreviewed,none,scored
111,252,practical,pending,unreviewed,none,scored
111,253,practical,pending,unreviewed,none,scored
111,254,practical,pending,unreviewed,none,scored
111,255,practical,pending,unreviewed,none,scored
111,256,practical,pending,unreviewed,none,scored
111,257,practical,pending,unreviewed,none,scored
111,258,practical,pending,unreviewed,none,scored
111,259,practical,pending,unreviewed,none,scored
111,260,practical,pending,unreviewed,none,scored
111,261,practical,pending,unreviewed,none,scored
111,262,practical,pending,unreviewed,none,scored
111,263,practical,pending,unreviewed,none,scored
111,264,practical,pending,unreviewed,none,scored
111,265,practical,pending,unreviewed,none,scored
111,266,practical,pending,unreviewed,none,scored
111,267,practical,pending,unreviewed,none,scored
111,268,practical,pending,unreviewed,none,scored
111,269,practical,pending,unreviewed,none,scored
111,270,practical,pending,unreviewed,none,scored
111,271,practical,pending,unreviewed,none,scored
111,272,practical,pending,unreviewed,none,scored
111,273,practical,pending,unreviewed,none,scored
111,274,practical,pending,unreviewed,none,scored
111,275,practical,pending,unreviewed,none,scored
111,276,practical,pending,unreviewed,none,scored
111,277,practical,pending,unreviewed,none,scored
111,278,practical,pending,unreviewed,none,scored
111,279,practical,pending,unreviewed,none,scored
111,280,practical,pending,unreviewed,none,scored
111,281,practical,pending,unreviewed,none,scored
111,282,practical,pending,unreviewed,none,scored
111,283,practical,pending,unreviewed,none,scored
111,284,practical,pending,unreviewed,none,scored
111,285,practical,pending,unreviewed,none,scored
111,286,practical,pending,unreviewed,none,scored
111,287,practical,pending,unreviewed,none,excluded
111,288,practical,pending,unreviewed,none,scored
111,289,practical,pending,unreviewed,none,scored
111,290,practical,pending,unreviewed,none,scored
111,291,practical,pending,unreviewed,none,scored
111,292,practical,pending,unreviewed,none,scored
111,293,practical,pending,unreviewed,none,scored
111,294,practical,pending,unreviewed,none,scored
111,295,practical,pending,unreviewed,none,scored
111,296,practical,pending,unreviewed,none,scored
111,297,practical,pending,unreviewed,none,scored
111,298,practical,pending,unreviewed,none,scored
111,299,practical,pending,unreviewed,none,scored
111,300,practical,pending,unreviewed,none,scored
111,301,practical,pending,unreviewed,none,scored
111,302,practical,pending,unreviewed,none,scored
111,303,practical,pending,unreviewed,none,scored
111,304,practical,pending,unreviewed,none,scored
111,305,practical,pending,unreviewed,none,scored
111,306,practical,pending,unreviewed,none,scored
111,307,practical,pending,unreviewed,none,scored
111,308,practical,pending,unreviewed,none,scored
111,309,practical,pending,unreviewed,none,scored
111,310,practical,pending,unreviewed,none,scored
111,311,practical,pending,unreviewed,none,scored
111,312,practical,pending,unreviewed,none,scored
111,313,practical,pending,unreviewed,none,scored
111,314,practical,pending,unreviewed,none,scored
111,315,practical,pending,unreviewed,none,scored
111,316,practical,pending,unreviewed,none,scored
111,317,practical,pending,unreviewed,none,scored
111,318,practical,pending,unreviewed,none,scored
111,319,practical,pending,unreviewed,none,scored
111,320,practical,pending,unreviewed,none,scored
111,321,practical,pending,unreviewed,none,scored
111,322,practical,pending,unreviewed,none,scored
111,323,practical,pending,unreviewed,none,scored
111,324,practical,pending,unreviewed,none,scored
111,325,practical,pending,unreviewed,none,scored
111,326,practical,pending,unreviewed,none,scored
111,327,practical,pending,unreviewed,none,scored
111,328,practical,pending,unreviewed,none,scored
111,329,practical,pending,unreviewed,none,scored
111,330,practical,pending,unreviewed,none,scored
111,331,practical,pending,unreviewed,none,scored
111,332,practical,pending,unreviewed,none,scored
111,333,practical,pending,unreviewed,none,scored
111,334,practical,pending,unreviewed,none,scored
111,335,practical,pending,unreviewed,none,scored
111,336,practical,pending,unreviewed,none,scored
111,337,practical,pending,unreviewed,none,scored
111,338,practical,pending,unreviewed,none,scored
111,339,practical,pending,unreviewed,none,scored
111,340,practical,pending,unreviewed,none,scored
111,341,practical,pending,unreviewed,none,scored
111,342,practical,pending,unreviewed,none,scored
111,343,practical,pending,unreviewed,none,scored
111,344,practical,pending,unreviewed,none,scored
111,345,practical,pending,unreviewed,none,scored
110,1,mandatory,pending,unreviewed,none,scored
110,2,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
110,3,mandatory,pending,unreviewed,none,scored
110,4,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
110,5,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
110,6,mandatory,pending,unreviewed,none,scored
110,7,mandatory,pending,unreviewed,none,scored
110,8,mandatory,pending,unreviewed,none,scored
110,9,mandatory,pending,unreviewed,none,scored
110,10,mandatory,pending,unreviewed,none,scored
110,11,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
110,12,mandatory,pending,unreviewed,none,scored
110,13,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
110,14,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
110,15,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
110,16,mandatory,pending,unreviewed,none,scored
110,17,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
110,18,mandatory,pending,unreviewed,none,scored
110,19,mandatory,pending,unreviewed,none,scored
110,20,mandatory,pending,unreviewed,none,scored
110,21,mandatory,pending,unreviewed,none,scored
110,22,mandatory,pending,unreviewed,none,scored
110,23,mandatory,pending,unreviewed,none,scored
110,24,mandatory,pending,unreviewed,none,scored
110,25,mandatory,pending,unreviewed,none,scored
110,26,mandatory,pending,unreviewed,none,scored
110,27,mandatory,pending,unreviewed,none,scored
110,28,mandatory,pending,unreviewed,none,scored
110,29,mandatory,pending,unreviewed,none,scored
110,30,mandatory,pending,unreviewed,none,scored
110,31,mandatory,pending,unreviewed,none,scored
110,32,mandatory,pending,unreviewed,none,scored
110,33,mandatory,pending,unreviewed,none,scored
110,34,mandatory,pending,unreviewed,none,scored
110,35,mandatory,pending,unreviewed,none,scored
110,36,mandatory,pending,unreviewed,none,scored
110,37,mandatory,pending,unreviewed,none,scored
110,38,mandatory,pending,unreviewed,none,scored
110,39,mandatory,pending,unreviewed,none,scored
110,40,mandatory,pending,unreviewed,none,scored
110,41,mandatory,pending,unreviewed,none,scored
110,42,mandatory,pending,unreviewed,none,scored
110,43,mandatory,pending,unreviewed,none,scored
110,44,mandatory,pending,unreviewed,none,scored
110,45,mandatory,pending,unreviewed,none,scored
110,46,mandatory,pending,unreviewed,none,scored
110,47,mandatory,pending,unreviewed,none,scored
110,48,mandatory,pending,unreviewed,none,scored
110,49,mandatory,pending,unreviewed,none,scored
110,50,mandatory,pending,unreviewed,none,scored
110,51,mandatory,pending,unreviewed,none,scored
110,52,mandatory,pending,unreviewed,none,scored
110,53,mandatory,pending,unreviewed,none,scored
110,54,mandatory,pending,unreviewed,none,scored
110,55,mandatory,pending,unreviewed,none,scored
110,56,mandatory,pending,unreviewed,none,scored
110,57,mandatory,pending,unreviewed,none,scored
110,58,mandatory,pending,unreviewed,none,scored
110,59,mandatory,pending,unreviewed,none,scored
110,60,mandatory,pending,unreviewed,none,scored
110,61,mandatory,pending,unreviewed,none,scored
110,62,mandatory,pending,unreviewed,none,scored
110,63,mandatory,pending,unreviewed,none,scored
110,64,mandatory,pending,unreviewed,none,scored
110,65,mandatory,pending,unreviewed,none,scored
110,66,mandatory,pending,unreviewed,none,scored
110,67,mandatory,pending,unreviewed,none,scored
110,68,mandatory,pending,unreviewed,none,scored
110,69,mandatory,pending,unreviewed,none,scored
110,70,mandatory,pending,unreviewed,none,scored
110,71,mandatory,pending,unreviewed,none,scored
110,72,mandatory,pending,unreviewed,none,scored
110,73,mandatory,pending,unreviewed,none,scored
110,74,mandatory,pending,unreviewed,none,scored
110,75,mandatory,pending,unreviewed,none,scored
110,76,mandatory,pending,unreviewed,none,scored
110,77,mandatory,pending,unreviewed,none,scored
110,78,mandatory,pending,unreviewed,none,scored
110,79,mandatory,pending,unreviewed,none,scored
110,80,mandatory,pending,unreviewed,none,scored
110,81,mandatory,pending,unreviewed,none,scored
110,82,mandatory,pending,unreviewed,none,scored
110,83,mandatory,pending,unreviewed,none,scored
110,84,mandatory,pending,unreviewed,none,scored
110,85,mandatory,pending,unreviewed,none,scored
110,86,mandatory,pending,unreviewed,none,scored
110,87,mandatory,pending,unreviewed,none,scored
110,88,mandatory,pending,unreviewed,none,scored
110,89,mandatory,pending,unreviewed,none,scored
110,90,mandatory,pending,unreviewed,none,scored
110,91,theory,pending,unreviewed,none,scored
110,92,theory,pending,unreviewed,none,scored
110,93,theory,pending,unreviewed,none,scored
110,94,theory,pending,unreviewed,none,scored
110,95,theory,pending,unreviewed,none,scored
110,96,theory,pending,unreviewed,none,scored
110,97,theory,pending,unreviewed,none,scored
110,98,theory,pending,unreviewed,none,scored
110,99,theory,pending,unreviewed,none,scored
110,100,theory,pending,unreviewed,none,scored
110,101,theory,pending,unreviewed,none,scored
110,102,theory,pending,unreviewed,none,scored
110,103,theory,pending,unreviewed,none,scored
110,104,theory,pending,unreviewed,none,scored
110,105,theory,pending,unreviewed,none,scored
110,106,theory,pending,unreviewed,none,scored
110,107,theory,pending,unreviewed,none,scored
110,108,theory,pending,unreviewed,none,scored
110,109,theory,pending,unreviewed,none,scored
110,110,theory,pending,unreviewed,none,scored
110,111,theory,pending,unreviewed,none,scored
110,112,theory,pending,unreviewed,none,scored
110,113,theory,pending,unreviewed,none,scored
110,114,theory,pending,unreviewed,none,scored
110,115,theory,pending,unreviewed,none,scored
110,116,theory,pending,unreviewed,none,scored
110,117,theory,pending,unreviewed,none,scored
110,118,theory,pending,unreviewed,none,scored
110,119,theory,pending,unreviewed,none,scored
110,120,theory,pending,unreviewed,none,scored
110,121,theory,pending,unreviewed,none,scored
110,122,theory,pending,unreviewed,none,scored
110,123,theory,pending,unreviewed,none,scored
110,124,theory,pending,unreviewed,none,scored
110,125,theory,pending,unreviewed,none,scored
110,126,theory,pending,unreviewed,none,scored
110,127,theory,pending,unreviewed,none,scored
110,128,theory,pending,unreviewed,none,scored
110,129,theory,pending,unreviewed,none,scored
110,130,theory,pending,unreviewed,none,scored
110,131,theory,pending,unreviewed,none,scored
110,132,theory,pending,unreviewed,none,scored
110,133,theory,pending,unreviewed,none,scored
110,134,theory,pending,unreviewed,none,scored
110,135,theory,pending,unreviewed,none,scored
110,136,theory,pending,unreviewed,none,scored
110,137,theory,pending,unreviewed,none,scored
110,138,theory,pending,unreviewed,none,scored
110,139,theory,pending,unreviewed,none,scored
110,140,theory,pending,unreviewed,none,scored
110,141,theory,pending,unreviewed,none,scored
110,142,theory,pending,unreviewed,none,scored
110,143,theory,pending,unreviewed,none,scored
110,144,theory,pending,unreviewed,none,scored
110,145,theory,pending,unreviewed,none,scored
110,146,theory,pending,unreviewed,none,scored
110,147,theory,pending,unreviewed,none,scored
110,148,theory,pending,unreviewed,none,scored
110,149,theory,pending,unreviewed,none,scored
110,150,theory,pending,unreviewed,none,scored
110,151,theory,pending,unreviewed,none,scored
110,152,theory,pending,unreviewed,none,scored
110,153,theory,pending,unreviewed,none,scored
110,154,theory,pending,unreviewed,none,scored
110,155,theory,pending,unreviewed,none,scored
110,156,theory,pending,unreviewed,none,scored
110,157,theory,pending,unreviewed,none,scored
110,158,theory,pending,unreviewed,none,scored
110,159,theory,pending,unreviewed,none,scored
110,160,theory,pending,unreviewed,none,scored
110,161,theory,pending,unreviewed,none,scored
110,162,theory,pending,unreviewed,none,scored
110,163,theory,pending,unreviewed,none,scored
110,164,theory,pending,unreviewed,none,scored
110,165,theory,pending,unreviewed,none,scored
110,166,theory,pending,unreviewed,none,scored
110,167,theory,pending,unreviewed,none,scored
110,168,theory,pending,unreviewed,none,scored
110,169,theory,pending,unreviewed,none,scored
110,170,theory,pending,unreviewed,none,scored
110,171,theory,pending,unreviewed,none,scored
110,172,theory,pending,unreviewed,none,scored
110,173,theory,pending,unreviewed,none,scored
110,174,theory,pending,unreviewed,none,scored
110,175,theory,pending,unreviewed,none,scored
110,176,theory,pending,unreviewed,none,scored
110,177,theory,pending,unreviewed,none,scored
110,178,theory,pending,unreviewed,none,scored
110,179,theory,pending,unreviewed,none,scored
110,180,theory,pending,unreviewed,none,scored
110,181,theory,pending,unreviewed,none,scored
110,182,theory,pending,unreviewed,none,scored
110,183,theory,pending,unreviewed,none,scored
110,184,theory,pending,unreviewed,none,scored
110,185,theory,pending,unreviewed,none,scored
110,186,theory,pending,unreviewed,none,scored
110,187,theory,pending,unreviewed,none,scored
110,188,theory,pending,unreviewed,none,scored
110,189,theory,pending,unreviewed,none,scored
110,190,theory,pending,unreviewed,none,scored
110,191,theory,pending,unreviewed,none,scored
110,192,theory,pending,unreviewed,none,scored
110,193,theory,pending,unreviewed,none,scored
110,194,theory,pending,unreviewed,none,scored
110,195,theory,pending,unreviewed,none,scored
110,196,practical,pending,unreviewed,none,scored
110,197,practical,pending,unreviewed,none,scored
110,198,practical,pending,unreviewed,none,scored
110,199,practical,pending,unreviewed,none,scored
110,200,practical,pending,unreviewed,none,scored
110,201,practical,pending,unreviewed,none,scored
110,202,practical,pending,unreviewed,none,scored
110,203,practical,pending,unreviewed,none,scored
110,204,practical,pending,unreviewed,none,scored
110,205,practical,pending,unreviewed,none,scored
110,206,practical,pending,unreviewed,none,scored
110,207,practical,pending,unreviewed,none,scored
110,208,practical,pending,unreviewed,none,scored
110,209,practical,pending,unreviewed,none,scored
110,210,practical,pending,unreviewed,none,scored
110,211,practical,pending,unreviewed,none,scored
110,212,practical,pending,unreviewed,none,scored
110,213,practical,pending,unreviewed,none,scored
110,214,practical,pending,unreviewed,none,scored
110,215,practical,pending,unreviewed,none,scored
110,216,practical,pending,unreviewed,none,scored
110,217,practical,pending,unreviewed,none,scored
110,218,practical,pending,unreviewed,none,scored
110,219,practical,pending,unreviewed,none,scored
110,220,practical,pending,unreviewed,none,scored
110,221,practical,pending,unreviewed,none,scored
110,222,practical,pending,unreviewed,none,scored
110,223,practical,pending,unreviewed,none,scored
110,224,practical,pending,unreviewed,none,scored
110,225,practical,pending,unreviewed,none,scored
110,226,practical,pending,unreviewed,none,scored
110,227,practical,pending,unreviewed,none,scored
110,228,practical,pending,unreviewed,none,scored
110,229,practical,pending,unreviewed,none,scored
110,230,practical,pending,unreviewed,none,scored
110,231,practical,pending,unreviewed,none,scored
110,232,practical,pending,unreviewed,none,scored
110,233,practical,pending,unreviewed,none,scored
110,234,practical,pending,unreviewed,none,scored
110,235,practical,pending,unreviewed,none,scored
110,236,practical,pending,unreviewed,none,scored
110,237,practical,pending,unreviewed,none,scored
110,238,practical,pending,unreviewed,none,scored
110,239,practical,pending,unreviewed,none,scored
110,240,practical,pending,unreviewed,none,scored
110,241,practical,pending,unreviewed,none,scored
110,242,practical,pending,unreviewed,none,scored
110,243,practical,pending,unreviewed,none,scored
110,244,practical,pending,unreviewed,none,scored
110,245,practical,pending,unreviewed,none,scored
110,246,practical,pending,unreviewed,none,scored
110,247,practical,pending,unreviewed,none,scored
110,248,practical,pending,unreviewed,none,scored
110,249,practical,pending,unreviewed,none,scored
110,250,practical,pending,unreviewed,none,scored
110,251,practical,pending,unreviewed,none,scored
110,252,practical,pending,unreviewed,none,scored
110,253,practical,pending,unreviewed,none,scored
110,254,practical,pending,unreviewed,none,scored
110,255,practical,pending,unreviewed,none,scored
110,256,practical,pending,unreviewed,none,scored
110,257,practical,pending,unreviewed,none,scored
110,258,practical,pending,unreviewed,none,scored
110,259,practical,pending,unreviewed,none,scored
110,260,practical,pending,unreviewed,none,scored
110,261,practical,pending,unreviewed,none,scored
110,262,practical,pending,unreviewed,none,scored
110,263,practical,pending,unreviewed,none,scored
110,264,practical,pending,unreviewed,none,scored
110,265,practical,pending,unreviewed,none,scored
110,266,practical,pending,unreviewed,none,scored
110,267,practical,pending,unreviewed,none,scored
110,268,practical,pending,unreviewed,none,scored
110,269,practical,pending,unreviewed,none,scored
110,270,practical,pending,unreviewed,none,scored
110,271,practical,pending,unreviewed,none,scored
110,272,practical,pending,unreviewed,none,scored
110,273,practical,pending,unreviewed,none,scored
110,274,practical,pending,unreviewed,none,scored
110,275,practical,pending,unreviewed,none,scored
110,276,practical,pending,unreviewed,none,scored
110,277,practical,pending,unreviewed,none,scored
110,278,practical,pending,unreviewed,none,scored
110,279,practical,pending,unreviewed,none,scored
110,280,practical,pending,unreviewed,none,scored
110,281,practical,pending,unreviewed,none,scored
110,282,practical,pending,unreviewed,none,scored
110,283,practical,pending,unreviewed,none,scored
110,284,practical,pending,unreviewed,none,scored
110,285,practical,pending,unreviewed,none,scored
110,286,practical,pending,unreviewed,none,scored
110,287,practical,pending,unreviewed,none,scored
110,288,practical,pending,unreviewed,none,scored
110,289,practical,pending,unreviewed,none,scored
110,290,practical,pending,unreviewed,none,scored
110,291,practical,pending,unreviewed,none,scored
