id,round,subject,coreConceptId,semanticRole,factualCorrectness,answer,choiceSetSameAcross3Rounds,correctAnswerSameAcross3Rounds,contentIntegrity,lawAsOf,notes
2026-04-P09,2026年4月公表,労働生理,P09,CORE,PASS,心拍数の増加,YES,YES,PASS,,コア論点
2026-04-P10,2026年4月公表,労働生理,P10,CORE,PASS,錐体は主に色覚、杆体は主に明暗に関与する,YES,YES,PASS,,コア論点
2025-10-L01,2025年10月公表,関係法令,L01,REPETITION,PASS,50人,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L02,2025年10月公表,関係法令,L02,REPETITION,PASS,14日以内,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L03,2025年10月公表,関係法令,L03,REPETITION,PASS,毎週1回,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L04,2025年10月公表,関係法令,L04,REPETITION,PASS,2人,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L05,2025年10月公表,関係法令,L05,REPETITION,PASS,3人,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L06,2025年10月公表,関係法令,L06,REPETITION,PASS,5人,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L07,2025年10月公表,関係法令,L07,REPETITION,PASS,"常時1,200人の事業場",YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L08,2025年10月公表,関係法令,L08,REPETITION,PASS,製造業では第二種衛生管理者免許のみの者は選任できない,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L09,2025年10月公表,関係法令,L09,REPETITION,PASS,毎月1回以上,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L10,2025年10月公表,関係法令,L10,REPETITION,PASS,3年,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L11,2025年10月公表,関係法令,L11,REPETITION,PASS,50人,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L12,2025年10月公表,関係法令,L12,REPETITION,PASS,"常時1,000人以上の事業場",YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L13,2025年10月公表,関係法令,L13,REPETITION,PASS,2人,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L14,2025年10月公表,関係法令,L14,REPETITION,PASS,1年以内ごとに1回,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L15,2025年10月公表,関係法令,L15,REPETITION,PASS,6か月以内ごとに1回,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L16,2025年10月公表,関係法令,L16,REPETITION,PASS,5年,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-L17,2025年10月公表,関係法令,L17,REPETITION,PASS,常時50人以上,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-10-H01,2025年10月公表,労働衛生,H01,REPETITION,PASS,作業環境管理・作業管理・健康管理,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H02,2025年10月公表,労働衛生,H02,REPETITION,PASS,局所排気装置,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H03,2025年10月公表,労働衛生,H03,REPETITION,PASS,全体換気（希釈換気）,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H04,2025年10月公表,労働衛生,H04,REPETITION,PASS,18％未満,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H05,2025年10月公表,労働衛生,H05,REPETITION,PASS,無色・無臭である,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H06,2025年10月公表,労働衛生,H06,REPETITION,PASS,ヘモグロビンと強く結合するため,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H07,2025年10月公表,労働衛生,H07,REPETITION,PASS,高濃度では嗅覚が麻痺し臭いを感じにくくなることがある,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H08,2025年10月公表,労働衛生,H08,REPETITION,PASS,多くは揮発性があり、蒸気が低い場所に滞留しやすいものがある,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H09,2025年10月公表,労働衛生,H09,REPETITION,PASS,造血機能への障害,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H10,2025年10月公表,労働衛生,H10,REPETITION,PASS,貧血や神経障害,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H11,2025年10月公表,労働衛生,H11,REPETITION,PASS,中枢神経系の障害,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H12,2025年10月公表,労働衛生,H12,REPETITION,PASS,精神・神経症状,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H13,2025年10月公表,労働衛生,H13,REPETITION,PASS,"4,000Hz付近",YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H14,2025年10月公表,労働衛生,H14,REPETITION,PASS,レイノー現象（白ろう指）,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H15,2025年10月公表,労働衛生,H15,REPETITION,PASS,WBGT,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H16,2025年10月公表,労働衛生,H16,REPETITION,PASS,シーベルト,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-H17,2025年10月公表,労働衛生,H17,REPETITION,PASS,より有害性の低い物質への代替,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-P01,2025年10月公表,労働生理,P01,REPETITION,PASS,赤血球中のヘモグロビン,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-P02,2025年10月公表,労働生理,P02,REPETITION,PASS,生体防御・免疫,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-P03,2025年10月公表,労働生理,P03,REPETITION,PASS,止血・血液凝固への関与,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-P04,2025年10月公表,労働生理,P04,REPETITION,PASS,左心室,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-P05,2025年10月公表,労働生理,P05,REPETITION,PASS,肺胞,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-P06,2025年10月公表,労働生理,P06,REPETITION,PASS,水分や必要物質の多くが尿細管で再吸収される,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-P07,2025年10月公表,労働生理,P07,REPETITION,PASS,グリコーゲンの貯蔵や解毒,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-P08,2025年10月公表,労働生理,P08,REPETITION,PASS,血糖値を低下させる方向に働く,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-P09,2025年10月公表,労働生理,P09,REPETITION,PASS,心拍数の増加,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-10-P10,2025年10月公表,労働生理,P10,REPETITION,PASS,錐体は主に色覚、杆体は主に明暗に関与する,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-L01,2025年4月公表,関係法令,L01,REPETITION,PASS,50人,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L02,2025年4月公表,関係法令,L02,REPETITION,PASS,14日以内,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L03,2025年4月公表,関係法令,L03,REPETITION,PASS,毎週1回,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L04,2025年4月公表,関係法令,L04,REPETITION,PASS,2人,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L05,2025年4月公表,関係法令,L05,REPETITION,PASS,3人,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L06,2025年4月公表,関係法令,L06,REPETITION,PASS,5人,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L07,2025年4月公表,関係法令,L07,REPETITION,PASS,"常時1,200人の事業場",YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L08,2025年4月公表,関係法令,L08,REPETITION,PASS,製造業では第二種衛生管理者免許のみの者は選任できない,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L09,2025年4月公表,関係法令,L09,REPETITION,PASS,毎月1回以上,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L10,2025年4月公表,関係法令,L10,REPETITION,PASS,3年,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L11,2025年4月公表,関係法令,L11,REPETITION,PASS,50人,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L12,2025年4月公表,関係法令,L12,REPETITION,PASS,"常時1,000人以上の事業場",YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L13,2025年4月公表,関係法令,L13,REPETITION,PASS,2人,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L14,2025年4月公表,関係法令,L14,REPETITION,PASS,1年以内ごとに1回,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L15,2025年4月公表,関係法令,L15,REPETITION,PASS,6か月以内ごとに1回,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L16,2025年4月公表,関係法令,L16,REPETITION,PASS,5年,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-L17,2025年4月公表,関係法令,L17,REPETITION,PASS,常時50人以上,YES,YES,FAIL_WATERFILL,2026-08-08,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一 / 2026-08-08現行法で正答PASS
2025-04-H01,2025年4月公表,労働衛生,H01,REPETITION,PASS,作業環境管理・作業管理・健康管理,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H02,2025年4月公表,労働衛生,H02,REPETITION,PASS,局所排気装置,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H03,2025年4月公表,労働衛生,H03,REPETITION,PASS,全体換気（希釈換気）,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H04,2025年4月公表,労働衛生,H04,REPETITION,PASS,18％未満,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H05,2025年4月公表,労働衛生,H05,REPETITION,PASS,無色・無臭である,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H06,2025年4月公表,労働衛生,H06,REPETITION,PASS,ヘモグロビンと強く結合するため,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H07,2025年4月公表,労働衛生,H07,REPETITION,PASS,高濃度では嗅覚が麻痺し臭いを感じにくくなることがある,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H08,2025年4月公表,労働衛生,H08,REPETITION,PASS,多くは揮発性があり、蒸気が低い場所に滞留しやすいものがある,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H09,2025年4月公表,労働衛生,H09,REPETITION,PASS,造血機能への障害,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H10,2025年4月公表,労働衛生,H10,REPETITION,PASS,貧血や神経障害,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H11,2025年4月公表,労働衛生,H11,REPETITION,PASS,中枢神経系の障害,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H12,2025年4月公表,労働衛生,H12,REPETITION,PASS,精神・神経症状,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H13,2025年4月公表,労働衛生,H13,REPETITION,PASS,"4,000Hz付近",YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H14,2025年4月公表,労働衛生,H14,REPETITION,PASS,レイノー現象（白ろう指）,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H15,2025年4月公表,労働衛生,H15,REPETITION,PASS,WBGT,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H16,2025年4月公表,労働衛生,H16,REPETITION,PASS,シーベルト,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-H17,2025年4月公表,労働衛生,H17,REPETITION,PASS,より有害性の低い物質への代替,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-P01,2025年4月公表,労働生理,P01,REPETITION,PASS,赤血球中のヘモグロビン,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-P02,2025年4月公表,労働生理,P02,REPETITION,PASS,生体防御・免疫,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-P03,2025年4月公表,労働生理,P03,REPETITION,PASS,止血・血液凝固への関与,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-P04,2025年4月公表,労働生理,P04,REPETITION,PASS,左心室,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-P05,2025年4月公表,労働生理,P05,REPETITION,PASS,肺胞,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-P06,2025年4月公表,労働生理,P06,REPETITION,PASS,水分や必要物質の多くが尿細管で再吸収される,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-P07,2025年4月公表,労働生理,P07,REPETITION,PASS,グリコーゲンの貯蔵や解毒,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-P08,2025年4月公表,労働生理,P08,REPETITION,PASS,血糖値を低下させる方向に働く,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-P09,2025年4月公表,労働生理,P09,REPETITION,PASS,心拍数の増加,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
2025-04-P10,2025年4月公表,労働生理,P10,REPETITION,PASS,錐体は主に色覚、杆体は主に明暗に関与する,YES,YES,FAIL_WATERFILL,,同一coreConceptIdの反復。選択肢集合と正答が他2回と同一
