id,round,stem,correct,law_as_of,source,future_watch,status
2025-10-Q05,2025-10,強烈な騒音を発する屋内作業場で法令上求められる措置として適切なのはどれか。,隔壁を設けるなど騒音の伝ぱを防ぐ措置,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2025-10-Q06,2025-10,特定粉じん発生源に該当するものとして適切なのはどれか。,屋内で粉状の炭素製品を袋詰めする箇所,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2025-10-Q07,2025-10,パルプ液を入れたことのある槽内部で酸素欠乏危険作業を行う場合、必要な作業主任者として適切なのはどれか。,第二種酸素欠乏危険作業主任者技能講習修了者から選任,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74105000&dataType=0&pageNo=1,,PASS
2025-10-Q08,2025-10,有害作業場と定期測定項目の組合せとして正しいものはどれか。,エックス線透過写真撮影の管理区域―線量当量率または線量当量,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2025-10-Q09,2025-10,有機溶剤蒸気が発散するおそれのある空容器の処理として適切なのはどれか。,密閉するか屋外の一定場所に集積する,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74090000&dataType=0&pageNo=1,,PASS
2025-10-Q10,2025-10,有害業務の1日2時間の時間外延長制限の対象外となる業務はどれか。,ヘリウム等の不活性ガスを入れたことのあるタンク内部の業務,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,,PASS
2025-10-Q21,2025-10,衛生管理者の作業場等巡視頻度として正しいものはどれか。,少なくとも毎週1回,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2025-10-Q22,2025-10,衛生委員会の議長を除く委員について、過半数労組等の推薦に基づいて指名する割合は原則どれか。,半数,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo44_1.html,,PASS
2025-10-Q23,2025-10,清掃業で総括安全衛生管理者の選任が必要となる規模はどれか。,常時100人以上,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo35_1.html,,PASS
2025-10-Q24,2025-10,ストレスチェック等の実施状況を監督署へ報告する義務がある事業場の基本基準はどれか。,常時50人以上で、1年以内ごとに1回,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo95_1.html,2028-04-01: 50人未満事業場へのストレスチェック義務拡大。施行時に設問・解説再監査。,PASS
2025-10-Q25,2025-10,事務室の気積は、設備等を除き労働者1人当たり原則どれだけ以上必要か。,10m³以上,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74089000&dataType=0&pageNo=1,,PASS
2025-10-Q26,2025-10,監視または断続的労働について労働時間・休憩・休日規定の適用除外を受けるため必要なのはどれか。,行政官庁の許可,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,,PASS
2025-10-Q27,2025-10,週4日・週24時間勤務、勤続3年6か月、出勤率8割以上の労働者に新たに付与する年休は何日か。,10日,2026-08-08,https://www.mhlw.go.jp/seisakunitsuite/bunya/koyou_roudou/roudouseisaku/chushoukigyou/joken_kankyou_rule.html,,PASS
2025-04-Q01,2025-04,常時600人を使用する製造業の事業場で必要な衛生管理者の最低人数は何人か。,3人,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2025-04-Q02,2025-04,硫酸を取り扱う特定化学設備の定期自主検査について正しいものはどれか。,1年以内ではなく、原則2年以内ごとに1回,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74097000&dataType=0,,PASS
2025-04-Q03,2025-04,法令上、厚生労働大臣が定める規格を満たす必要があるものはどれか。,一酸化炭素用防毒マスク,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo88_1.html,,PASS
2025-04-Q04,2025-04,石綿作業主任者の選任資格として正しいものはどれか。,石綿作業主任者技能講習を修了した者,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo34_1.html,,PASS
2025-04-Q05,2025-04,著しく暑熱または多湿の作業場で原則必要な休憩設備はどれか。,作業場外に休憩設備を設ける,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2025-04-Q06,2025-04,特別管理物質に常時従事した労働者の作業記録等について重要な管理はどれか。,長期保存し、事業廃止時には法定の対象記録を監督署へ提出する,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74097000&dataType=0,,PASS
2025-04-Q07,2025-04,リスクアセスメント対象物を新たに採用・変更するとき、事業者が行うべき基本対応はどれか。,危険性・有害性を特定してリスクアセスメントを行う,2026-08-08,https://www.mhlw.go.jp/stf/newpage_11389.html,,PASS
2025-04-Q08,2025-04,酸素欠乏危険場所の換気方法として禁止されるものはどれか。,純酸素を用いて換気する,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74105000&dataType=0&pageNo=1,,PASS
2025-04-Q09,2025-04,セメントを袋詰めする屋内作業場で法令上行う作業環境測定の中心項目はどれか。,空気中の粉じん濃度,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2025-04-Q10,2025-04,1日の時間外労働の延長が2時間以内に制限される業務はどれか。,削岩機などで身体に著しい振動を与える業務,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,,PASS
2025-04-Q21,2025-04,常時300人の警備業の事業場について、総括安全衛生管理者の選任義務はどうなるか。,この人数だけでは選任義務は生じない,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo35_1.html,,PASS
2025-04-Q22,2025-04,衛生管理者が管理すべき業務として法令に定められていないものはどれか。,衛生推進者を指揮すること,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2025-04-Q23,2025-04,衛生委員会の議長について正しいものはどれか。,総括安全衛生管理者である委員が議長となることができる,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo44_1.html,,PASS
2025-04-Q24,2025-04,ストレスチェックの個人結果を事業者へ提供する原則はどれか。,結果通知後に本人の同意が必要,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo95_1.html,,PASS
2025-04-Q25,2025-04,事業場附属の炊事場の衛生管理として適切なのはどれか。,土足のまま立ち入らせず、汚染を持ち込まない,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2025-04-Q26,2025-04,妊娠中の女性が請求した場合の使用者の対応はどれか。,他の軽易な業務へ転換する,2026-08-08,https://www.bosei-navi.mhlw.go.jp/gimu/taiou.html,,PASS
2025-04-Q27,2025-04,週4日勤務でも週所定労働時間30時間、勤続3年6か月、出勤率8割以上なら新たな年休は何日か。,14日,2026-08-08,https://www.mhlw.go.jp/seisakunitsuite/bunya/koyou_roudou/roudouseisaku/chushoukigyou/joken_kankyou_rule.html,,PASS
