similarity,id_a,id_b,concept_a,concept_b,answer_a,answer_b,classification,manual_result
0.7368,2026-04-Q38,2025-10-Q32,liver_urea,open_fracture,アンモニアから尿素を合成する,骨折部が創を通じて外界と交通している,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.7568,2026-04-Q38,2025-10-Q33,liver_urea,prevalence,アンモニアから尿素を合成する,ある時点・期間に疾病を有する人の割合,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.7568,2026-04-Q38,2025-10-Q36,liver_urea,pulmonary_circulation,アンモニアから尿素を合成する,右心室→肺動脈→肺→肺静脈→左心房,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.7368,2026-04-Q38,2025-10-Q41,liver_urea,cortex_gray,アンモニアから尿素を合成する,神経細胞体が多い灰白質が外側にある,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.7368,2026-04-Q38,2025-04-Q11,liver_urea,management_concentration_role,アンモニアから尿素を合成する,作業環境の管理区分を判断するための指標で、個人ばく露限界そのものではない,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.7297,2025-10-Q01,2025-04-Q01,mfg400_general_manager,mfg600_hygiene_manager_count,必要,3人,OFFICIAL_RECURRING_DOMAIN_DISTINCT,PASS - substantive duplicate is not present
0.8197,2025-10-Q03,2025-04-Q03,ammonia_mask_standard,co_mask_standard,アンモニア用防毒マスク,一酸化炭素用防毒マスク,OFFICIAL_RECURRENCE_DISTINCT,PASS - substantive duplicate is not present
0.8205,2025-10-Q32,2025-10-Q33,open_fracture,prevalence,骨折部が創を通じて外界と交通している,ある時点・期間に疾病を有する人の割合,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.8,2025-10-Q32,2025-04-Q11,open_fracture,management_concentration_role,骨折部が創を通じて外界と交通している,作業環境の管理区分を判断するための指標で、個人ばく露限界そのものではない,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.7368,2025-10-Q33,2025-10-Q36,prevalence,pulmonary_circulation,ある時点・期間に疾病を有する人の割合,右心室→肺動脈→肺→肺静脈→左心房,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.8205,2025-10-Q33,2025-04-Q11,prevalence,management_concentration_role,ある時点・期間に疾病を有する人の割合,作業環境の管理区分を判断するための指標で、個人ばく露限界そのものではない,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
