id,examDate,domain,sourceQuestionNumber,answer,sourceUrl,transcription_check,explanation_check,legal_reference_date
fp2-2026-05-gakka-054,2026-05,相続・事業承継,54,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-055,2026-05,相続・事業承継,55,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-056,2026-05,相続・事業承継,56,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-057,2026-05,相続・事業承継,57,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-058,2026-05,相続・事業承継,58,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-059,2026-05,相続・事業承継,59,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-060,2026-05,相続・事業承継,60,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2025-05-gakka-001,2025-05,ライフプランニングと資金計画,1,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-002,2025-05,ライフプランニングと資金計画,2,3,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-003,2025-05,ライフプランニングと資金計画,3,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-004,2025-05,ライフプランニングと資金計画,4,3,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-005,2025-05,ライフプランニングと資金計画,5,4,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-006,2025-05,ライフプランニングと資金計画,6,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-007,2025-05,ライフプランニングと資金計画,7,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-008,2025-05,ライフプランニングと資金計画,8,4,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-009,2025-05,ライフプランニングと資金計画,9,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-010,2025-05,ライフプランニングと資金計画,10,3,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-011,2025-05,リスク管理,11,3,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-012,2025-05,リスク管理,12,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-013,2025-05,リスク管理,13,3,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-014,2025-05,リスク管理,14,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-015,2025-05,リスク管理,15,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-016,2025-05,リスク管理,16,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-017,2025-05,リスク管理,17,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-018,2025-05,リスク管理,18,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-019,2025-05,リスク管理,19,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-020,2025-05,リスク管理,20,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-021,2025-05,金融資産運用,21,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-022,2025-05,金融資産運用,22,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-023,2025-05,金融資産運用,23,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-024,2025-05,金融資産運用,24,3,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-025,2025-05,金融資産運用,25,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-026,2025-05,金融資産運用,26,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-027,2025-05,金融資産運用,27,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-028,2025-05,金融資産運用,28,3,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-029,2025-05,金融資産運用,29,4,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-030,2025-05,金融資産運用,30,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-031,2025-05,タックスプランニング,31,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-032,2025-05,タックスプランニング,32,4,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-033,2025-05,タックスプランニング,33,4,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-034,2025-05,タックスプランニング,34,4,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-035,2025-05,タックスプランニング,35,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-036,2025-05,タックスプランニング,36,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-037,2025-05,タックスプランニング,37,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-038,2025-05,タックスプランニング,38,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-039,2025-05,タックスプランニング,39,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-040,2025-05,タックスプランニング,40,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-041,2025-05,不動産,41,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-042,2025-05,不動産,42,3,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-043,2025-05,不動産,43,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-044,2025-05,不動産,44,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-045,2025-05,不動産,45,3,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-046,2025-05,不動産,46,3,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-047,2025-05,不動産,47,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-048,2025-05,不動産,48,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-049,2025-05,不動産,49,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-050,2025-05,不動産,50,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-051,2025-05,相続・事業承継,51,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-052,2025-05,相続・事業承継,52,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-053,2025-05,相続・事業承継,53,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-054,2025-05,相続・事業承継,54,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-055,2025-05,相続・事業承継,55,4,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-056,2025-05,相続・事業承継,56,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-057,2025-05,相続・事業承継,57,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-058,2025-05,相続・事業承継,58,2,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-059,2025-05,相続・事業承継,59,1,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-05-gakka-060,2025-05,相続・事業承継,60,4,https://www.jafp.or.jp/exam/mohan/files/g2_202505_qa.pdf,済,済,2024-04-01
fp2-2025-01-gakka-001,2025-01,ライフプランニングと資金計画,1,1,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-002,2025-01,ライフプランニングと資金計画,2,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-003,2025-01,ライフプランニングと資金計画,3,1,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-004,2025-01,ライフプランニングと資金計画,4,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-005,2025-01,ライフプランニングと資金計画,5,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-006,2025-01,ライフプランニングと資金計画,6,1,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-007,2025-01,ライフプランニングと資金計画,7,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-008,2025-01,ライフプランニングと資金計画,8,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-009,2025-01,ライフプランニングと資金計画,9,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-010,2025-01,ライフプランニングと資金計画,10,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-011,2025-01,リスク管理,11,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-012,2025-01,リスク管理,12,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-013,2025-01,リスク管理,13,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-014,2025-01,リスク管理,14,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-015,2025-01,リスク管理,15,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-016,2025-01,リスク管理,16,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-017,2025-01,リスク管理,17,1,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-018,2025-01,リスク管理,18,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-019,2025-01,リスク管理,19,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-020,2025-01,リスク管理,20,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-021,2025-01,金融資産運用,21,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-022,2025-01,金融資産運用,22,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-023,2025-01,金融資産運用,23,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-024,2025-01,金融資産運用,24,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-025,2025-01,金融資産運用,25,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-026,2025-01,金融資産運用,26,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-027,2025-01,金融資産運用,27,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-028,2025-01,金融資産運用,28,1,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-029,2025-01,金融資産運用,29,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-030,2025-01,金融資産運用,30,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-031,2025-01,タックスプランニング,31,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-032,2025-01,タックスプランニング,32,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-033,2025-01,タックスプランニング,33,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-034,2025-01,タックスプランニング,34,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-035,2025-01,タックスプランニング,35,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-036,2025-01,タックスプランニング,36,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-037,2025-01,タックスプランニング,37,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-038,2025-01,タックスプランニング,38,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-039,2025-01,タックスプランニング,39,1,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-040,2025-01,タックスプランニング,40,1,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-041,2025-01,不動産,41,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-042,2025-01,不動産,42,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-043,2025-01,不動産,43,1,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-044,2025-01,不動産,44,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-045,2025-01,不動産,45,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-046,2025-01,不動産,46,3,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-047,2025-01,不動産,47,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-048,2025-01,不動産,48,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-049,2025-01,不動産,49,1,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-050,2025-01,不動産,50,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-051,2025-01,相続・事業承継,51,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-052,2025-01,相続・事業承継,52,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-053,2025-01,相続・事業承継,53,1,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-054,2025-01,相続・事業承継,54,1,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-055,2025-01,相続・事業承継,55,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-056,2025-01,相続・事業承継,56,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-057,2025-01,相続・事業承継,57,1,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-058,2025-01,相続・事業承継,58,4,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
fp2-2025-01-gakka-059,2025-01,相続・事業承継,59,2,https://www.jafp.or.jp/exam/mohan/files/g2_202501_q.pdf,済,済,2024-10-01
